Name,Preparation Method,Preparation Time (Minutes),Country,Category,Ingredients,Rating,Ingredient Count,Cost Price (EGP),Selling Price (EGP)
Curry 718,Simmer protein or vegetables in spiced sauce.,143,Spain,Breakfast,"Chicken, Coconut Milk, Spices, Onions",3.8,4,43,64
Paella 890,"Cook rice with saffron, seafood, and vegetables.",18,Thailand,Dessert,"Rice, Saffron, Seafood, Bell Peppers",4.1,4,115,163
Taco 56,"Fill tortilla with protein, veggies, and sauce.",117,China,Dessert,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.1,5,79,150
Pancake 313,"Mix batter, cook on griddle, and serve with syrup.",145,France,Appetizer,"Flour, Eggs, Milk, Syrup",3.9,4,37,46
Croissant 998,"Prepare layered dough with butter, shape, and bake.",64,Mexico,Dessert,"Flour, Butter, Milk, Yeast",4.7,4,120,193
Pancake 624,"Mix batter, cook on griddle, and serve with syrup.",75,Spain,Appetizer,"Flour, Eggs, Milk, Syrup",3.5,4,28,141
Croissant 893,"Prepare layered dough with butter, shape, and bake.",22,USA,Main Course,"Flour, Butter, Milk, Yeast",4.9,4,47,85
Hamburger 658,"Grill beef patty, add toppings and sandwich in bun.",71,France,Appetizer,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.8,5,52,50
Falafel 617,Blend chickpeas and fry into balls.,67,Italy,Dessert,"Chickpeas, Garlic, Parsley, Spices",3.6,4,74,181
Falafel 983,Blend chickpeas and fry into balls.,81,Italy,Appetizer,"Chickpeas, Garlic, Parsley, Spices",5.0,4,30,44
Hamburger 152,"Grill beef patty, add toppings and sandwich in bun.",58,Japan,Breakfast,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.2,5,49,50
Pasta 658,Cook pasta with sauce and mix ingredients.,122,Italy,Soup,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.7,4,30,75
Falafel 753,Blend chickpeas and fry into balls.,162,China,Appetizer,"Chickpeas, Garlic, Parsley, Spices",3.4,4,20,93
Pancake 369,"Mix batter, cook on griddle, and serve with syrup.",45,Japan,Dessert,"Flour, Eggs, Milk, Syrup",4.7,4,91,192
Pancake 617,"Mix batter, cook on griddle, and serve with syrup.",111,France,Soup,"Flour, Eggs, Milk, Syrup",3.3,4,38,59
Baklava 108,Layer phyllo dough with nuts and syrup.,75,India,Dessert,"Phyllo Dough, Honey, Nuts, Cinnamon",4.2,4,51,199
Falafel 701,Blend chickpeas and fry into balls.,70,China,Snack,"Chickpeas, Garlic, Parsley, Spices",3.8,4,70,100
Baklava 769,Layer phyllo dough with nuts and syrup.,46,Middle East,Main Course,"Phyllo Dough, Honey, Nuts, Cinnamon",4.5,4,32,55
Pasta 717,Cook pasta with sauce and mix ingredients.,31,Turkey,Dessert,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.5,4,100,173
Curry 844,Simmer protein or vegetables in spiced sauce.,151,China,Dessert,"Chicken, Coconut Milk, Spices, Onions",4.0,4,80,197
Falafel 62,Blend chickpeas and fry into balls.,89,Middle East,Breakfast,"Chickpeas, Garlic, Parsley, Spices",5.0,4,47,64
Curry 579,Simmer protein or vegetables in spiced sauce.,32,Spain,Breakfast,"Chicken, Coconut Milk, Spices, Onions",4.9,4,54,59
Hamburger 796,"Grill beef patty, add toppings and sandwich in bun.",178,India,Appetizer,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.8,5,21,50
Curry 574,Simmer protein or vegetables in spiced sauce.,151,Middle East,Main Course,"Chicken, Coconut Milk, Spices, Onions",4.7,4,61,135
Taco 157,"Fill tortilla with protein, veggies, and sauce.",175,Italy,Snack,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.5,5,55,89
Croissant 925,"Prepare layered dough with butter, shape, and bake.",99,Japan,Snack,"Flour, Butter, Milk, Yeast",4.6,4,58,52
Hamburger 220,"Grill beef patty, add toppings and sandwich in bun.",32,China,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.2,5,77,50
Baklava 385,Layer phyllo dough with nuts and syrup.,109,USA,Snack,"Phyllo Dough, Honey, Nuts, Cinnamon",3.5,4,68,65
Pasta 32,Cook pasta with sauce and mix ingredients.,149,Mexico,Breakfast,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.0,4,39,53
Pasta 921,Cook pasta with sauce and mix ingredients.,81,Middle East,Dessert,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.8,4,75,101
Falafel 388,Blend chickpeas and fry into balls.,150,India,Appetizer,"Chickpeas, Garlic, Parsley, Spices",3.1,4,68,53
Croissant 158,"Prepare layered dough with butter, shape, and bake.",114,Japan,Soup,"Flour, Butter, Milk, Yeast",3.9,4,37,76
Croissant 709,"Prepare layered dough with butter, shape, and bake.",109,USA,Appetizer,"Flour, Butter, Milk, Yeast",4.2,4,39,134
Paella 758,"Cook rice with saffron, seafood, and vegetables.",97,Turkey,Snack,"Rice, Saffron, Seafood, Bell Peppers",3.9,4,54,73
Taco 145,"Fill tortilla with protein, veggies, and sauce.",36,Mexico,Breakfast,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.3,5,43,76
Falafel 261,Blend chickpeas and fry into balls.,148,USA,Breakfast,"Chickpeas, Garlic, Parsley, Spices",3.0,4,38,93
Pasta 168,Cook pasta with sauce and mix ingredients.,18,Middle East,Snack,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.4,4,47,50
Hamburger 930,"Grill beef patty, add toppings and sandwich in bun.",46,Thailand,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.9,5,98,50
Hamburger 409,"Grill beef patty, add toppings and sandwich in bun.",135,Thailand,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.5,5,71,50
Hamburger 231,"Grill beef patty, add toppings and sandwich in bun.",38,Thailand,Breakfast,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.0,5,57,50
Pasta 383,Cook pasta with sauce and mix ingredients.,88,Thailand,Snack,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.7,4,54,100
Croissant 850,"Prepare layered dough with butter, shape, and bake.",88,Japan,Dessert,"Flour, Butter, Milk, Yeast",4.0,4,113,99
Hamburger 871,"Grill beef patty, add toppings and sandwich in bun.",136,Spain,Appetizer,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.0,5,77,50
Curry 781,Simmer protein or vegetables in spiced sauce.,158,France,Soup,"Chicken, Coconut Milk, Spices, Onions",4.0,4,36,61
Pasta 454,Cook pasta with sauce and mix ingredients.,134,Italy,Main Course,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.0,4,47,75
Falafel 993,Blend chickpeas and fry into balls.,143,Italy,Main Course,"Chickpeas, Garlic, Parsley, Spices",3.4,4,52,127
Falafel 931,Blend chickpeas and fry into balls.,42,Japan,Breakfast,"Chickpeas, Garlic, Parsley, Spices",3.5,4,27,91
Paella 804,"Cook rice with saffron, seafood, and vegetables.",52,Mexico,Breakfast,"Rice, Saffron, Seafood, Bell Peppers",4.1,4,35,86
Baklava 292,Layer phyllo dough with nuts and syrup.,125,Japan,Soup,"Phyllo Dough, Honey, Nuts, Cinnamon",4.8,4,44,59
Curry 770,Simmer protein or vegetables in spiced sauce.,65,China,Appetizer,"Chicken, Coconut Milk, Spices, Onions",4.7,4,55,77
Falafel 641,Blend chickpeas and fry into balls.,56,USA,Snack,"Chickpeas, Garlic, Parsley, Spices",3.6,4,67,91
Pasta 916,Cook pasta with sauce and mix ingredients.,67,Middle East,Breakfast,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.9,4,42,72
Paella 535,"Cook rice with saffron, seafood, and vegetables.",26,Mexico,Snack,"Rice, Saffron, Seafood, Bell Peppers",4.4,4,65,88
Croissant 410,"Prepare layered dough with butter, shape, and bake.",88,China,Soup,"Flour, Butter, Milk, Yeast",4.7,4,21,58
Hamburger 873,"Grill beef patty, add toppings and sandwich in bun.",112,Middle East,Snack,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.5,5,41,50
Pancake 184,"Mix batter, cook on griddle, and serve with syrup.",97,Mexico,Main Course,"Flour, Eggs, Milk, Syrup",3.7,4,53,54
Pasta 413,Cook pasta with sauce and mix ingredients.,147,China,Breakfast,"Pasta, Tomato Sauce, Cheese, Olive Oil",5.0,4,40,81
Croissant 483,"Prepare layered dough with butter, shape, and bake.",92,India,Breakfast,"Flour, Butter, Milk, Yeast",3.5,4,54,74
Pancake 138,"Mix batter, cook on griddle, and serve with syrup.",107,Mexico,Soup,"Flour, Eggs, Milk, Syrup",4.2,4,28,77
Taco 907,"Fill tortilla with protein, veggies, and sauce.",25,Middle East,Soup,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.4,5,43,46
Hamburger 541,"Grill beef patty, add toppings and sandwich in bun.",103,Italy,Breakfast,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.9,5,27,50
Falafel 415,Blend chickpeas and fry into balls.,91,Turkey,Appetizer,"Chickpeas, Garlic, Parsley, Spices",3.5,4,21,127
Hamburger 711,"Grill beef patty, add toppings and sandwich in bun.",34,Italy,Breakfast,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.9,5,36,50
Pancake 286,"Mix batter, cook on griddle, and serve with syrup.",99,Spain,Breakfast,"Flour, Eggs, Milk, Syrup",4.7,4,33,73
Pasta 665,Cook pasta with sauce and mix ingredients.,31,USA,Breakfast,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.3,4,45,98
Pancake 251,"Mix batter, cook on griddle, and serve with syrup.",97,Mexico,Soup,"Flour, Eggs, Milk, Syrup",3.4,4,37,44
Taco 76,"Fill tortilla with protein, veggies, and sauce.",36,Mexico,Appetizer,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.8,5,32,88
Pasta 850,Cook pasta with sauce and mix ingredients.,67,Mexico,Appetizer,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.8,4,53,105
Baklava 543,Layer phyllo dough with nuts and syrup.,113,France,Main Course,"Phyllo Dough, Honey, Nuts, Cinnamon",4.6,4,54,79
Falafel 195,Blend chickpeas and fry into balls.,54,Turkey,Breakfast,"Chickpeas, Garlic, Parsley, Spices",4.1,4,27,59
Curry 395,Simmer protein or vegetables in spiced sauce.,180,India,Snack,"Chicken, Coconut Milk, Spices, Onions",5.0,4,42,96
Baklava 297,Layer phyllo dough with nuts and syrup.,152,India,Breakfast,"Phyllo Dough, Honey, Nuts, Cinnamon",4.4,4,34,80
Falafel 102,Blend chickpeas and fry into balls.,61,Turkey,Breakfast,"Chickpeas, Garlic, Parsley, Spices",3.7,4,49,66
Pancake 175,"Mix batter, cook on griddle, and serve with syrup.",110,France,Dessert,"Flour, Eggs, Milk, Syrup",3.1,4,82,178
Paella 943,"Cook rice with saffron, seafood, and vegetables.",164,China,Main Course,"Rice, Saffron, Seafood, Bell Peppers",4.6,4,50,60
Falafel 673,Blend chickpeas and fry into balls.,148,Turkey,Dessert,"Chickpeas, Garlic, Parsley, Spices",3.2,4,56,102
Hamburger 414,"Grill beef patty, add toppings and sandwich in bun.",172,USA,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.1,5,105,50
Baklava 555,Layer phyllo dough with nuts and syrup.,173,USA,Soup,"Phyllo Dough, Honey, Nuts, Cinnamon",3.2,4,45,79
Paella 453,"Cook rice with saffron, seafood, and vegetables.",136,Japan,Snack,"Rice, Saffron, Seafood, Bell Peppers",4.8,4,53,87
Curry 492,Simmer protein or vegetables in spiced sauce.,74,Mexico,Dessert,"Chicken, Coconut Milk, Spices, Onions",4.9,4,98,163
Falafel 721,Blend chickpeas and fry into balls.,15,Japan,Snack,"Chickpeas, Garlic, Parsley, Spices",3.6,4,34,81
Pasta 279,Cook pasta with sauce and mix ingredients.,111,Italy,Snack,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.8,4,30,67
Taco 641,"Fill tortilla with protein, veggies, and sauce.",117,Japan,Dessert,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.7,5,79,158
Taco 949,"Fill tortilla with protein, veggies, and sauce.",135,USA,Soup,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.5,5,21,71
Falafel 606,Blend chickpeas and fry into balls.,143,India,Snack,"Chickpeas, Garlic, Parsley, Spices",3.5,4,30,66
Pancake 270,"Mix batter, cook on griddle, and serve with syrup.",101,USA,Soup,"Flour, Eggs, Milk, Syrup",3.5,4,28,61
Curry 85,Simmer protein or vegetables in spiced sauce.,132,Thailand,Breakfast,"Chicken, Coconut Milk, Spices, Onions",4.9,4,52,88
Pasta 182,Cook pasta with sauce and mix ingredients.,126,Japan,Appetizer,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.6,4,37,91
Baklava 324,Layer phyllo dough with nuts and syrup.,84,Thailand,Breakfast,"Phyllo Dough, Honey, Nuts, Cinnamon",4.8,4,53,84
Paella 469,"Cook rice with saffron, seafood, and vegetables.",128,Thailand,Soup,"Rice, Saffron, Seafood, Bell Peppers",3.2,4,32,49
Pancake 294,"Mix batter, cook on griddle, and serve with syrup.",138,USA,Dessert,"Flour, Eggs, Milk, Syrup",3.8,4,105,171
Pancake 250,"Mix batter, cook on griddle, and serve with syrup.",167,France,Appetizer,"Flour, Eggs, Milk, Syrup",3.2,4,25,113
Falafel 290,Blend chickpeas and fry into balls.,85,Thailand,Main Course,"Chickpeas, Garlic, Parsley, Spices",3.1,4,30,108
Paella 146,"Cook rice with saffron, seafood, and vegetables.",115,Mexico,Snack,"Rice, Saffron, Seafood, Bell Peppers",4.6,4,47,76
Hamburger 698,"Grill beef patty, add toppings and sandwich in bun.",124,Mexico,Snack,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.9,5,62,50
Taco 104,"Fill tortilla with protein, veggies, and sauce.",70,Turkey,Appetizer,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.2,5,32,102
Hamburger 22,"Grill beef patty, add toppings and sandwich in bun.",78,Middle East,Soup,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.2,5,42,50
Taco 989,"Fill tortilla with protein, veggies, and sauce.",133,Middle East,Breakfast,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.6,5,36,73
Falafel 254,Blend chickpeas and fry into balls.,39,USA,Dessert,"Chickpeas, Garlic, Parsley, Spices",3.2,4,103,121
Paella 518,"Cook rice with saffron, seafood, and vegetables.",55,France,Appetizer,"Rice, Saffron, Seafood, Bell Peppers",3.0,4,27,117
Baklava 803,Layer phyllo dough with nuts and syrup.,31,China,Appetizer,"Phyllo Dough, Honey, Nuts, Cinnamon",4.7,4,31,134
Croissant 440,"Prepare layered dough with butter, shape, and bake.",137,Spain,Main Course,"Flour, Butter, Milk, Yeast",3.7,4,63,113
Croissant 496,"Prepare layered dough with butter, shape, and bake.",166,China,Breakfast,"Flour, Butter, Milk, Yeast",3.7,4,50,79
Falafel 720,Blend chickpeas and fry into balls.,23,Middle East,Soup,"Chickpeas, Garlic, Parsley, Spices",3.7,4,49,77
Curry 278,Simmer protein or vegetables in spiced sauce.,153,Spain,Appetizer,"Chicken, Coconut Milk, Spices, Onions",3.2,4,45,84
Taco 258,"Fill tortilla with protein, veggies, and sauce.",86,France,Snack,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.6,5,70,93
Baklava 970,Layer phyllo dough with nuts and syrup.,90,Japan,Main Course,"Phyllo Dough, Honey, Nuts, Cinnamon",3.8,4,47,77
Baklava 194,Layer phyllo dough with nuts and syrup.,142,Mexico,Snack,"Phyllo Dough, Honey, Nuts, Cinnamon",3.8,4,47,73
Curry 586,Simmer protein or vegetables in spiced sauce.,166,China,Dessert,"Chicken, Coconut Milk, Spices, Onions",4.7,4,97,173
Curry 317,Simmer protein or vegetables in spiced sauce.,52,USA,Dessert,"Chicken, Coconut Milk, Spices, Onions",4.3,4,118,106
Hamburger 48,"Grill beef patty, add toppings and sandwich in bun.",137,Thailand,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.2,5,105,50
Baklava 948,Layer phyllo dough with nuts and syrup.,67,Middle East,Main Course,"Phyllo Dough, Honey, Nuts, Cinnamon",3.5,4,41,123
Baklava 773,Layer phyllo dough with nuts and syrup.,98,India,Appetizer,"Phyllo Dough, Honey, Nuts, Cinnamon",4.8,4,80,68
Baklava 28,Layer phyllo dough with nuts and syrup.,77,Thailand,Soup,"Phyllo Dough, Honey, Nuts, Cinnamon",4.9,4,35,40
Pasta 486,Cook pasta with sauce and mix ingredients.,119,Spain,Main Course,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.3,4,60,103
Taco 536,"Fill tortilla with protein, veggies, and sauce.",101,Japan,Dessert,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.8,5,52,113
Falafel 55,Blend chickpeas and fry into balls.,70,China,Main Course,"Chickpeas, Garlic, Parsley, Spices",4.9,4,75,48
Baklava 632,Layer phyllo dough with nuts and syrup.,132,Turkey,Dessert,"Phyllo Dough, Honey, Nuts, Cinnamon",4.7,4,85,94
Falafel 477,Blend chickpeas and fry into balls.,136,USA,Main Course,"Chickpeas, Garlic, Parsley, Spices",4.8,4,36,67
Falafel 862,Blend chickpeas and fry into balls.,97,Spain,Breakfast,"Chickpeas, Garlic, Parsley, Spices",4.0,4,26,60
Paella 11,"Cook rice with saffron, seafood, and vegetables.",33,Turkey,Breakfast,"Rice, Saffron, Seafood, Bell Peppers",4.1,4,37,52
Curry 302,Simmer protein or vegetables in spiced sauce.,99,Italy,Appetizer,"Chicken, Coconut Milk, Spices, Onions",4.3,4,52,81
Paella 188,"Cook rice with saffron, seafood, and vegetables.",94,China,Appetizer,"Rice, Saffron, Seafood, Bell Peppers",4.7,4,40,115
Hamburger 828,"Grill beef patty, add toppings and sandwich in bun.",143,USA,Soup,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.0,5,45,50
Falafel 138,Blend chickpeas and fry into balls.,82,France,Dessert,"Chickpeas, Garlic, Parsley, Spices",3.4,4,103,155
Hamburger 122,"Grill beef patty, add toppings and sandwich in bun.",39,India,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.6,5,23,50
Curry 313,Simmer protein or vegetables in spiced sauce.,67,France,Dessert,"Chicken, Coconut Milk, Spices, Onions",3.3,4,104,186
Taco 843,"Fill tortilla with protein, veggies, and sauce.",106,France,Soup,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.2,5,22,73
Croissant 771,"Prepare layered dough with butter, shape, and bake.",162,Mexico,Dessert,"Flour, Butter, Milk, Yeast",3.6,4,75,131
Curry 741,Simmer protein or vegetables in spiced sauce.,170,Spain,Main Course,"Chicken, Coconut Milk, Spices, Onions",3.9,4,45,143
Curry 616,Simmer protein or vegetables in spiced sauce.,90,USA,Appetizer,"Chicken, Coconut Milk, Spices, Onions",3.2,4,78,135
Croissant 581,"Prepare layered dough with butter, shape, and bake.",172,Middle East,Breakfast,"Flour, Butter, Milk, Yeast",4.7,4,31,65
Taco 678,"Fill tortilla with protein, veggies, and sauce.",135,Mexico,Main Course,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.0,5,35,42
Hamburger 564,"Grill beef patty, add toppings and sandwich in bun.",57,Middle East,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.6,5,79,50
Taco 797,"Fill tortilla with protein, veggies, and sauce.",77,USA,Snack,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.6,5,42,53
Curry 277,Simmer protein or vegetables in spiced sauce.,42,France,Appetizer,"Chicken, Coconut Milk, Spices, Onions",3.1,4,34,50
Pasta 217,Cook pasta with sauce and mix ingredients.,19,Japan,Appetizer,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.9,4,27,43
Curry 571,Simmer protein or vegetables in spiced sauce.,24,Italy,Breakfast,"Chicken, Coconut Milk, Spices, Onions",3.5,4,25,99
Croissant 424,"Prepare layered dough with butter, shape, and bake.",95,Japan,Main Course,"Flour, Butter, Milk, Yeast",3.3,4,72,149
Pasta 833,Cook pasta with sauce and mix ingredients.,169,Middle East,Appetizer,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.6,4,40,118
Croissant 737,"Prepare layered dough with butter, shape, and bake.",115,Middle East,Soup,"Flour, Butter, Milk, Yeast",5.0,4,50,79
Falafel 888,Blend chickpeas and fry into balls.,83,Mexico,Snack,"Chickpeas, Garlic, Parsley, Spices",4.5,4,59,97
Curry 983,Simmer protein or vegetables in spiced sauce.,16,Mexico,Breakfast,"Chicken, Coconut Milk, Spices, Onions",4.1,4,50,81
Baklava 965,Layer phyllo dough with nuts and syrup.,107,China,Appetizer,"Phyllo Dough, Honey, Nuts, Cinnamon",3.1,4,56,72
Paella 984,"Cook rice with saffron, seafood, and vegetables.",91,Mexico,Appetizer,"Rice, Saffron, Seafood, Bell Peppers",3.7,4,77,130
Taco 320,"Fill tortilla with protein, veggies, and sauce.",18,USA,Soup,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.7,5,48,40
Pancake 577,"Mix batter, cook on griddle, and serve with syrup.",12,Spain,Appetizer,"Flour, Eggs, Milk, Syrup",3.4,4,56,79
Pasta 110,Cook pasta with sauce and mix ingredients.,14,India,Main Course,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.3,4,42,103
Pancake 10,"Mix batter, cook on griddle, and serve with syrup.",154,India,Soup,"Flour, Eggs, Milk, Syrup",3.5,4,30,76
Paella 518,"Cook rice with saffron, seafood, and vegetables.",108,Italy,Soup,"Rice, Saffron, Seafood, Bell Peppers",3.9,4,42,49
Pasta 382,Cook pasta with sauce and mix ingredients.,104,Middle East,Snack,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.0,4,36,50
Falafel 104,Blend chickpeas and fry into balls.,46,China,Snack,"Chickpeas, Garlic, Parsley, Spices",4.5,4,55,57
Curry 679,Simmer protein or vegetables in spiced sauce.,159,Spain,Soup,"Chicken, Coconut Milk, Spices, Onions",4.0,4,44,75
Croissant 639,"Prepare layered dough with butter, shape, and bake.",91,Thailand,Appetizer,"Flour, Butter, Milk, Yeast",4.3,4,40,87
Curry 731,Simmer protein or vegetables in spiced sauce.,119,China,Dessert,"Chicken, Coconut Milk, Spices, Onions",3.2,4,78,157
Baklava 997,Layer phyllo dough with nuts and syrup.,152,India,Soup,"Phyllo Dough, Honey, Nuts, Cinnamon",4.0,4,49,75
Pasta 662,Cook pasta with sauce and mix ingredients.,66,Thailand,Appetizer,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.7,4,29,104
Croissant 467,"Prepare layered dough with butter, shape, and bake.",98,France,Breakfast,"Flour, Butter, Milk, Yeast",4.2,4,48,86
Curry 625,Simmer protein or vegetables in spiced sauce.,40,Spain,Dessert,"Chicken, Coconut Milk, Spices, Onions",3.3,4,115,127
Hamburger 612,"Grill beef patty, add toppings and sandwich in bun.",154,USA,Snack,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.4,5,41,50
Taco 453,"Fill tortilla with protein, veggies, and sauce.",18,Italy,Soup,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.2,5,38,73
Hamburger 741,"Grill beef patty, add toppings and sandwich in bun.",112,Mexico,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.5,5,54,50
Baklava 819,Layer phyllo dough with nuts and syrup.,80,India,Snack,"Phyllo Dough, Honey, Nuts, Cinnamon",4.4,4,62,97
Taco 338,"Fill tortilla with protein, veggies, and sauce.",117,USA,Breakfast,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.1,5,59,50
Pasta 686,Cook pasta with sauce and mix ingredients.,41,Thailand,Appetizer,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.4,4,44,126
Croissant 509,"Prepare layered dough with butter, shape, and bake.",104,Japan,Appetizer,"Flour, Butter, Milk, Yeast",4.9,4,79,93
Hamburger 757,"Grill beef patty, add toppings and sandwich in bun.",109,Turkey,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.9,5,53,50
Falafel 120,Blend chickpeas and fry into balls.,43,France,Dessert,"Chickpeas, Garlic, Parsley, Spices",4.1,4,50,121
Croissant 219,"Prepare layered dough with butter, shape, and bake.",77,Thailand,Main Course,"Flour, Butter, Milk, Yeast",3.2,4,48,46
Pancake 610,"Mix batter, cook on griddle, and serve with syrup.",111,France,Soup,"Flour, Eggs, Milk, Syrup",4.5,4,27,54
Curry 943,Simmer protein or vegetables in spiced sauce.,83,China,Breakfast,"Chicken, Coconut Milk, Spices, Onions",3.2,4,34,67
Paella 15,"Cook rice with saffron, seafood, and vegetables.",48,Mexico,Breakfast,"Rice, Saffron, Seafood, Bell Peppers",3.7,4,42,54
Curry 1,Simmer protein or vegetables in spiced sauce.,120,Italy,Soup,"Chicken, Coconut Milk, Spices, Onions",4.5,4,32,47
Croissant 393,"Prepare layered dough with butter, shape, and bake.",16,Turkey,Soup,"Flour, Butter, Milk, Yeast",3.5,4,43,44
Baklava 221,Layer phyllo dough with nuts and syrup.,174,Japan,Appetizer,"Phyllo Dough, Honey, Nuts, Cinnamon",3.1,4,21,122
Pancake 958,"Mix batter, cook on griddle, and serve with syrup.",86,Spain,Snack,"Flour, Eggs, Milk, Syrup",3.9,4,34,98
Pasta 965,Cook pasta with sauce and mix ingredients.,177,Mexico,Appetizer,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.1,4,22,58
Taco 323,"Fill tortilla with protein, veggies, and sauce.",132,Mexico,Appetizer,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.9,5,72,127
Croissant 697,"Prepare layered dough with butter, shape, and bake.",63,USA,Soup,"Flour, Butter, Milk, Yeast",3.3,4,31,57
Falafel 830,Blend chickpeas and fry into balls.,60,India,Appetizer,"Chickpeas, Garlic, Parsley, Spices",4.4,4,73,78
Taco 585,"Fill tortilla with protein, veggies, and sauce.",78,China,Soup,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.7,5,24,49
Pancake 846,"Mix batter, cook on griddle, and serve with syrup.",95,France,Main Course,"Flour, Eggs, Milk, Syrup",3.1,4,54,73
Paella 247,"Cook rice with saffron, seafood, and vegetables.",177,France,Snack,"Rice, Saffron, Seafood, Bell Peppers",4.4,4,66,53
Taco 720,"Fill tortilla with protein, veggies, and sauce.",60,China,Soup,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.1,5,40,80
Taco 346,"Fill tortilla with protein, veggies, and sauce.",49,Thailand,Snack,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.3,5,67,68
Pasta 381,Cook pasta with sauce and mix ingredients.,51,China,Dessert,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.0,4,77,142
Pasta 531,Cook pasta with sauce and mix ingredients.,180,Turkey,Dessert,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.2,4,119,191
Falafel 267,Blend chickpeas and fry into balls.,122,Mexico,Soup,"Chickpeas, Garlic, Parsley, Spices",4.6,4,41,68
Croissant 463,"Prepare layered dough with butter, shape, and bake.",168,France,Dessert,"Flour, Butter, Milk, Yeast",4.6,4,73,141
Taco 187,"Fill tortilla with protein, veggies, and sauce.",107,Italy,Snack,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.4,5,70,97
Pancake 475,"Mix batter, cook on griddle, and serve with syrup.",104,India,Main Course,"Flour, Eggs, Milk, Syrup",4.4,4,75,41
Pancake 236,"Mix batter, cook on griddle, and serve with syrup.",131,China,Breakfast,"Flour, Eggs, Milk, Syrup",3.2,4,50,92
Pancake 55,"Mix batter, cook on griddle, and serve with syrup.",42,Mexico,Breakfast,"Flour, Eggs, Milk, Syrup",4.9,4,34,64
Croissant 596,"Prepare layered dough with butter, shape, and bake.",178,Middle East,Appetizer,"Flour, Butter, Milk, Yeast",4.3,4,41,87
Croissant 732,"Prepare layered dough with butter, shape, and bake.",106,France,Soup,"Flour, Butter, Milk, Yeast",3.3,4,41,42
